date,home,opponent,home_score,opponent_score,passing_yards,rushing_yards,fumbles,uw_win
9/3/16,UW,Rutgers,48,13,289,91,0,1
9/10/16,UW,Idaho,59,14,356,126,1,1
9/17/16,UW,Portland State,41,3,194,213,1,1
9/24/16,Arizona,UW,28,35,160,352,0,1
9/30/16,UW,Stanford,44,6,210,214,0,1
10/8/16,Oregon,UW,21,70,304,378,0,1
10/22/16,UW,Oregon State,41,17,300,219,2,1
10/29/16,Utah,UW,24,31,186,199,1,1
11/5/16,Cal,UW,27,66,417,287,2,1
11/12/16,UW,USC,13,26,259,17,0,0
11/19/16,UW,Arizona State,44,18,338,201,0,1
11/25/16,Washington State,UW,17,45,342,168,1,1
12/2/16,Colorado,UW,10,41,118,25,0,1
12/31/16,UW,Alabama,7,24,150,44,1,0